id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.4028/www.scientific.net/msf.457-460.881,Contact Resistivity and Barrier Height of Al/Ti Ohmic Contacts on p-Type Ion Implanted 4H- and 6H-SiC,"Scorzoni, Andrea; Moscatelli, Francesco; Poggi, Antonella; Cardinali, G.C.; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2004,Materials Science Forum [issn:1662-9752],457-460,,881-884,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0038-1101(97)00168-8; local:S0038110197001688,Titanium and aluminum-titanium ohmic contacts to p-type SiC,"Crofton, J.; Beyer, L.; Williams, J.R.; Luckowski, E.D.; Mohney, S.E.; Delucca, J.M.",1997,Solid-State Electronics [issn:0038-1101],41,11,1725-1729,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.457-460.1025,The Role of the Ion Implanted Emitter State on 6H-SiC Power Diodes Behavior. A Statistical Study,"Lazar, Mihai; Cardinali, G.C.; Raynaud, Christophe; Poggi, Antonella; Planson, Dominique; Nipoti, Roberta [orcid:0000-0002-8019-9149]; Chante, Jean-Pierre",2004,Materials Science Forum [issn:1662-9752],457-460,,1025-1028,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.264-268.737,Stoichiometric Disturbances in Ion Implanted Silicon Carbide,"Morvan, Erwan; Montserrat, Josep; Rebollo, Jose; Flores, D.; Jordá, Xavier; Locatelli, Marie Laure; Ottaviani, Laurent",1998,Materials Science Forum [issn:1662-9752],264-268,,737-740,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.457-460.1357,Characterization of a Thermal Oxidation Process on SiC Preamorphized by Ar Ion Implantation,"Poggi, Antonella; Nipoti, Roberta [orcid:0000-0002-8019-9149]; Solmi, Sandro; Bersani, M.; Vanzetti, L.",2004,Materials Science Forum [issn:1662-9752],457-460,,1357-1360,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1063/1.125819; local:10.1063/1.125819,Comparison of nitrogen incorporation in SiO2/SiC and SiO2/Si structures,"McDonald, K.; Huang, M. B.; Weller, R. A.; Feldman, L. C.; Williams, J. R.; Stedile, F. C.; Baumvol, I. J. R.; Radtke, C.",2000,Applied Physics Letters [issn:0003-6951; issn:1077-3118],76,5,568-570,journal-article,AIP Publishing [crossref:317]
doi:10.1016/s0167-9317(97)00041-5; local:S0167931797000415,SiO2 as an insulator for SiC devices,"Harris, C.I.; Afanas'ev, V.V.",1997,Microelectronic Engineering [issn:0167-9317],36,1-4,167-174,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2007/71974; local:071974; local:71974,Low-Power Fully Integrated CMOS DTV Tuner Front-End for ATSC Terrestrial Broadcasting,"Xiao, Jianhong; Zhang, Guang [orcid:0000-0001-5745-9005]; Li, Tianwei; Silva-Martinez, Jose",2007,VLSI Design [issn:1065-514X; issn:1563-5171],2007,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.1109/4.293114,"A GaAs up converter integrated circuit for a double conversion cable TV ""set-top"" tuner","Scheinberg, N.; Michels, R.; Fedoroff, V.; Stoffman, D.; Li, K.; Kent, S.; Waight, M.; Marz, D.",1994,IEEE Journal of Solid-State Circuits [issn:0018-9200],29,6,688-692,journal-article,Institute of Electrical and Electronics Engineers (IEEE) [crossref:263]
doi:10.4028/www.scientific.net/msf.467-470.863,Evaluation of the Austenitic Grain Growth by Thermoelectric Power Measurements,"Capdevila, Carlos; De Cock, Tommy; Caballero, Francisca García; García-Mateo, Carlos [orcid:0000-0002-4773-5077]; García de Andrés, Carlos",2004,Materials Science Forum [issn:1662-9752],467-470,,863-868,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1007/s11661-998-0307-7; local:307,Characterization by thermoelectric power of a commercial aluminum-iron-silicon alloy (8011) during isothermal precipitation,"Luiggi, Ney José A.",1998,Metallurgical and Materials Transactions A [issn:1073-5623; issn:1543-1940],29,11,2669-2677,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1016/0036-9748(84)90338-7; local:0036974884903387,A differential scanning calorimetry study of recovery and recrystallization in a commercial Al-Fe-Si alloy (AA1145),"García Cordovilla, C.; Louis, E.",1984,Scripta Metallurgica [issn:0036-9748],18,6,549-553,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.467-470.1169,Study of Nucleation Mechanisms during Dynamic Recrystallization of a Coarse Nb Microalloyed Austenite,"Fernández-Calvo, Ana Isabel; López, Beatriz; Rodriguez-Ibabe, J.M. [orcid:0000-0002-4259-8712]",2004,Materials Science Forum [issn:1662-9752],467-470,,1169-1174,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.2355/isijinternational.40.893,Static Recrystallization Behaviour of a Wide Range of Austenite Grain Sizes in Microalloyed Steels.,"Fernández, A. I.; Uranga, P.; López, B.; Rodriguez-Ibabe, J. M.",2000,ISIJ International [issn:0915-1559],40,9,893-901,journal-article,Iron and Steel Institute of Japan [crossref:1253]
doi:10.4028/www.scientific.net/msf.471-472.67,"A Study on the Microstructure of Ti(C,N) Matrix Cermet Tool Material","Huang, Chuan Zhen; He, Lin; Wang, Jun [orcid:0000-0003-1699-3687]; Liu, Han Lian",2004,Materials Science Forum [issn:1662-9752],471-472,,67-71,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/0043-1648(85)90218-2; local:0043164885902182,Physical properties and cutting performance of silicon nitride ceramic,"Fukuhara, Mikio; Fukazawa, Kenji; Fukawa, Akira",1985,Wear [issn:0043-1648],102,3,195-210,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.473-474.159,Copper Coating by Electroless Process for Aluminium Matrix Composite,"Tomolya, Kinga [orcid:0000-0001-6908-3471]; Gácsi, Zoltán; Kovács, Árpád",2005,Materials Science Forum [issn:1662-9752],473-474,,159-164,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.31399/asm.hb.v05.a0001265,Electroless Copper Plating,,1994,Surface Engineering [isbn:9781627081702],,,311-322,book-chapter,ASM International [crossref:14553]
doi:10.1016/0257-8972(87)90075-2; local:0257897287900752,Inorganic compounds in electroless copper deposition,"Bieliński, J.; Kamiński, K.",1987,Surface and Coatings Technology [issn:0257-8972],31,3,223-233,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.471-472.243,Microstructure and Mechanical Properties of two Kinds of Al<sub>2</sub>O<sub>3</sub>/SiC Nanocomposites,"Liu, Han Lian; Huang, Chuan Zhen; Wang, Jun [orcid:0000-0003-1699-3687]; Sun, Jing",2004,Materials Science Forum [issn:1662-9752],471-472,,243-247,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.2109/jcersj.99.974,New Design Concept of Structural Ceramics,"NIIHARA, Koichi",1991,Journal of the Ceramic Society of Japan [issn:1882-1022; issn:0914-5400],99,1154,974-982,journal-article,Ceramic Society of Japan [crossref:846]
doi:10.4028/www.scientific.net/msf.473-474.471,A Comparative Examination of the Friction Coefficient of two Different Sliding Bearing,"Svéda, Mária [orcid:0000-0003-0655-1711]; Roósz, András; Buza, Gábor; Kuzsella, László",2005,Materials Science Forum [issn:1662-9752],473-474,,471-476,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1179/mst.1991.7.4.330; local:10.1179/mst.1991.7.4.330,Al–Pb–Si–In bearing alloy,"Howe, D. P.; Mee, M.; Torrance, A. A.; Williams, J. D.",1991,Materials Science and Technology [issn:0267-0836; issn:1743-2847],7,4,330-333,journal-article,Informa UK Limited [crossref:301]
doi:10.1179/030716979803276822; local:10.1179/030716979803276822,Production of high-leaded aluminium by impeller mixing,"Pathak, J. P.; Tiwari, S. N.; Malhotra, S. L.",1979,Metals Technology [issn:0307-1693],6,1,442-445,journal-article,Informa UK Limited [crossref:301]
doi:10.1016/b978-0-408-70932-3.50065-6,Al–Pb Aluminum–Lead system,"Mondolfo, L.F.",1976,Aluminum Alloys [isbn:9780408709323],,,352-354,book-chapter,Elsevier [crossref:78]
doi:10.4028/www.scientific.net/msf.471-472.462,Modelling the Depth of Jet Penetration in Abrasive Waterjet Contouring of Alumina Ceramics,"Wang, Jun [orcid:0000-0003-1699-3687]; Liu, H.; Huang, Chuan Zhen",2004,Materials Science Forum [issn:1662-9752],471-472,,462-468,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1007/978-1-4471-1572-4_1,Introduction,"Momber, Andreas W.; Kovacevic, Radovan",1998,Principles of Abrasive Water Jet Machining [isbn:9781447115748; isbn:9781447115724],,,1-4,book-chapter,Springer London [crossref:297]
doi:10.4028/www.scientific.net/msf.482.33,Theoretical Strength of Metals and Intermetallics from First Principles,"Šob, Mojmír; Pokluda, Jaroslav; Černý, Miroslav; Šandera, Pavel [orcid:0000-0002-3970-8271]; Vitek, V.",2005,Materials Science Forum [issn:1662-9752],482,,33-38,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1103/physreve.52.627,Instability nature of the swirl appearance in liquid cones,"Shtern, Vladimir; Barrero, Antonio",1995,Physical Review E [issn:1063-651X; issn:1095-3787],52,1,627-635,journal-article,American Physical Society (APS) [crossref:16]
doi:10.1103/physrev.10.1,Instability of Electrified Liquid Surfaces,"Zeleny, John",1917,Physical Review [issn:0031-899X],10,1,1-6,journal-article,American Physical Society (APS) [crossref:16]
doi:10.4028/www.scientific.net/msf.482.183,Microstructure and Thermal Stability of Ultra Fine Grained Mg and Mg-Gd Alloys Prepared by High-Pressure Torsion,"Čížek, Jakub; Procházka, Ivan; Smola, Bohumil [orcid:0000-0001-5551-2992]; Stulíková, Ivana; Kužel, Radomír; Matěj, Z.; Cherkaska, V.; Islamgaliev, Rinat K.; Kulyasova, Olya B.",2005,Materials Science Forum [issn:1662-9752],482,,183-186,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1002/(sici)1521-396x(199910)175:2<491::aid-pssa491>3.0.co;2-f,Microstructure Evolution in Isochronally Heat Treated Mg–Gd Alloys,"Vostrý, P.; Smola, B.; Stulíková, I.; von Buch, F.; Mordike, B. L.",1999,physica status solidi (a) [issn:0031-8965; issn:1521-396X],175,2,491-500,journal-article,Wiley [crossref:311]
doi:10.2464/jilm.42.727,"Special issue ""Magnesium and magnesium alloys"". Age hardening characteristics and high temperature strength of Mg-Gd and Mg-Tb alloys.","KAMADO, Shigeharu; IWASAWA, Shigeru; OHUCHI, Kiyoaki; KOJIMA, Yo; NINOMIYA, Ryuuji",1992,Journal of Japan Institute of Light Metals [issn:0451-5994],42,12,727-733,journal-article,Japan Institute of Light Metals [crossref:1296]
doi:10.4028/www.scientific.net/msf.482.191,Effect of Grain Boundary Segregation on Mechanical Properties of P-Doped Fe-Si Base Alloys,"Janovec, Jozef; Jenko, Monika; Pokluda, Jaroslav; Vlach, B.; Lejček, Pavel; Svoboda, Milan; Šandera, Pavel [orcid:0000-0002-3970-8271]",2005,Materials Science Forum [issn:1662-9752],482,,191-194,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1080/10408439508243544; local:10.1080/10408439508243544,Thermodynamics and structural aspects of grain boundary segregation,"Lejček, Pavel; Hofmann, Siegfried",1995,Critical Reviews in Solid State and Materials Sciences [issn:1040-8436; issn:1547-6561],20,1,1-85,journal-article,Informa UK Limited [crossref:301]
doi:10.4028/www.scientific.net/msf.46.25,Grain Boundary Design for the Control of Intergranular Fracture,"Watanabe, Tadao",1991,Materials Science Forum [issn:1662-9752],46,,25-48,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.482.207,Positron Annihilation Studies of Microstructure of Ultra Fine Grained Metals Prepared by Severe Plastic Deformation,"Čížek, Jakub; Procházka, Ivan; Smola, Bohumil [orcid:0000-0001-5551-2992]; Stulíková, Ivana; Kužel, Radomír; Cieslar, Miroslav; Matěj, Z.; Cherkaska, V.; Brauer, Gerhard; Anwand, W.; Islamgaliev, Rinat K.; Kulyasova, Olya B.",2005,Materials Science Forum [issn:1662-9752],482,,207-210,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.482.223,Interaction of a Crack in the Plasma-Sprayed Ceramic Coating with the Metal Substrate,"Náhlík, Luboš [orcid:0000-0002-1570-2705]; Knésl, Zdeněk; Kroupa, F.",2005,Materials Science Forum [issn:1662-9752],482,,223-226,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0065-2156(08)70164-9,Mixed Mode Cracking in Layered Materials,"Hutchinson, J.W.; Suo, Z.",1991,Advances in Applied Mechanics - Advances in Applied Mechanics Volume 29 [isbn:9780120020294],,,63-191,book-chapter,Elsevier [crossref:78]
doi:10.4028/www.scientific.net/msf.475-479.1101,Fracture Behavior and Its Shear Lag – Monte Carlo Simulation of SiC/SiC Composite Exposed in Air at High Temperatures,"Morishita, Kohei; Tanaka, H.; Kimura, Shigeru [orcid:0000-0003-1064-7572]; Okuda, Hiroshi; Ochiai, Shojiro; Tanaka, Masashi; Hojo, M.; Nakayama, H.; Sato, M.",2005,Materials Science Forum [issn:1662-9752],475-479,,1101-1104,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1002/9781118406014.ch1,Overview of CREST-ACE Program for SiC/SiC Ceramic Composites and Their Energy System Applications,"Kohyama, Akira; Katoh, Yutai",2012,Ceramic Transactions Series - Advanced SiC/SiC Ceramic Composites: Developments and Applications in Energy Systems [isbn:9781118406014; isbn:9781574981629],,,1-18,book-chapter,"John Wiley & Sons, Inc. [crossref:311]"
doi:10.1016/s0022-3115(86)80092-7; local:S0022311586800927,Progress in developing DBTT determinations from miniature disk bend tests,"Kohse, G.; Ames, M.; Harling, O.K.",1986,Journal of Nuclear Materials [issn:0022-3115],141-143,,513-517,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.482.311,On the Crack Tip Shielding in Particle Reinforced Composites,"Horníková, Jana; Šandera, Pavel [orcid:0000-0002-3970-8271]; Pokluda, Jaroslav",2005,Materials Science Forum [issn:1662-9752],482,,311-314,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1111/j.1151-2916.1991.tb07317.x; local:10.1111/j.1151-2916.1991.tb07317.x,Synergism of Toughening Mechanisms in Whisker-Reinforced Ceramic-Matrix Composites,"Giannakopoulos, Antonios E.; Breder, Kristin",1991,Journal of the American Ceramic Society [issn:0002-7820; issn:1551-2916],74,1,194-202,journal-article,Wiley [crossref:311]
doi:10.1002/9780470291092.ch20,Mechanisms of Toughening in Ceramic Matrix Composites,"Rice, R. W.",,"Ceramic Engineering and Science Proceedings - Proceedings of the 5th Annual Conference on Composites and Advanced Ceramic Materials: Ceramic Engineering and Science Proceedings, Volume 2, Issue 7/8 [isbn:9780470291092; isbn:9780470373903]",,,661-701,book-chapter,"John Wiley & Sons, Inc. [crossref:311]"
doi:10.4028/www.scientific.net/msf.483-485.3,Progress and Limits of the Numerical Simulation of SiC Bulk and Epitaxy Growth Processes,"Pons, Michel; Blanquet, Elisabeth; Dedulle, Jean Marc; Ucar, M.; Wellmann, Peter J.; Danielsson, Örjan; Ferret, Pierre; Di Cioccio, Lea; Baillet, Francis; Chaussende, Didier [orcid:0000-0002-4180-8749]; Madar, Roland",2005,Materials Science Forum [issn:1662-9752],483-485,,3-8,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.457-460.3,Silicon Carbide Crystal and Substrate Technology: A Survey of Recent Advances,"McD. Hobgood, H.; Brady, M.F.; Calus, M.R.; Jenny, Jason R.; Leonard, R.T.; Malta, D.P.; Müller, Stephan G.; Powell, Adrian R.; Tsvetkov, Valeri F.; Glass, R.C.; Carter Jr., Calvin H.",2004,Materials Science Forum [issn:1662-9752],457-460,,3-8,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.483-485.225,Large Area DPB Free (111) β-SiC Thick Layer Grown on (0001) α-SiC Nominal Surfaces by the CF-PVT Method,"Chaussende, Didier [orcid:0000-0002-4180-8749]; Latu-Romain, Laurence; Auvray, Laurent; Ucar, M.; Pons, Michel; Madar, Roland",2005,Materials Science Forum [issn:1662-9752],483-485,,225-228,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1002/1521-3951(199707)202:1<221::aid-pssb221>3.0.co;2-l,Cubic Silicon Carbide (3C-SiC): Structure and Properties of Single Crystals Grown by Thermal Decomposition of Methyl Trichlorosilane in Hydrogen,"Gorin, S.N.; Ivanova, L.M.",1997,physica status solidi (b) [issn:0370-1972; issn:1521-3951],202,1,221-245,journal-article,Wiley [crossref:311]
doi:10.4028/www.scientific.net/msf.483-485.625,Ar Annealing at 1600°C and 1650°C of Al<sup>+</sup> Implanted p<sup>+</sup>/n 4H-SiC Diodes: Analysis of the J-V Characteristics Versus Annealing Temperature,"Bergamini, Fabio; Moscatelli, Francesco; Canino, Mariaconcetta; Poggi, Antonella; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2005,Materials Science Forum [issn:1662-9752],483-485,,625-628,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0038-1101(02)00197-1; local:S0038110102001971,Maturing ion-implantation technology and its device applications in SiC,"Rao, Mulpuri V",2003,Solid-State Electronics [issn:0038-1101],47,2,213-222,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.483-485.629,J-V Characteristics of Al<sup>+</sup> Ion Implanted p<sup>+</sup>/n 4H-SiC Diodes Annealed in Silane Ambient at 1600°C,"Bergamini, Fabio; Rao, Shailaja P.; Saddow, Stephen E.; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2005,Materials Science Forum [issn:1662-9752],483-485,,629-632,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.483-485.649,n<sup>+</sup>/p Diodes Realized in SiC by Phosphorus Ion Implantation: Electrical Characterization as a Function of Temperature,"Canino, Mariaconcetta; Castaldini, Antonio; Cavallini, Anna; Moscatelli, Francesco; Nipoti, Roberta [orcid:0000-0002-8019-9149]; Poggi, Antonella",2005,Materials Science Forum [issn:1662-9752],483-485,,649-652,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.483-485.665,Competition between Oxidation and Recrystallization in Ion Amorphized (0001) 6H-SiC,"Poggi, Antonella; Parisini, Andrea; Solmi, Sandro; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2005,Materials Science Forum [issn:1662-9752],483-485,,665-668,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.389-393.1109,Low-Temperature Thermal Oxidation of Ion-Amorphized 6H-SiC,"Nipoti, Roberta [orcid:0000-0002-8019-9149]; Parisini, Andrea; Poggi, Antonella",2002,Materials Science Forum [issn:1662-9752],389-393,,1109-1112,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.483-485.737,Ni-Silicide Contacts to 6H-SiC: Contact Resistivity and Barrier Height on Ion Implanted n-Type and Barrier Height on p-Type Epilayer,"Moscatelli, Francesco; Scorzoni, Andrea; Poggi, Antonella; Canino, Mariaconcetta; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2005,Materials Science Forum [issn:1662-9752],483-485,,737-740,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/0921-5107(95)01276-1; local:0921510795012761,A critical review of ohmic and rectifying contacts for silicon carbide,"Porter, Lisa M.; Davis, Robert F.",1995,Materials Science and Engineering: B [issn:0921-5107],34,2-3,83-105,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.483-485.1021,Measurements of Charge Collection Efficiency of p<sup>+</sup>/n Junction SiC Detectors,"Moscatelli, Francesco; Scorzoni, Andrea; Poggi, Antonella; Bruzzi, Mara; Lagomarsino, Stefano; Mersi, Stefano; Sciortino, Silvio; Lazar, Mihai; Di Placido, Annalisa; Nipoti, Roberta [orcid:0000-0002-8019-9149]",2005,Materials Science Forum [issn:1662-9752],483-485,,1021-1024,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1109/tns.2003.807855,Study of silicon carbide for X-ray detection and spectroscopy,"Bertuccio, G.; Casiraghi, R.",2003,IEEE Transactions on Nuclear Science [issn:0018-9499],50,1,175-185,journal-article,Institute of Electrical and Electronics Engineers (IEEE) [crossref:263]
doi:10.4028/www.scientific.net/msf.490-491.223,Comparative Neutron and Synchrotron X-Ray Diffraction Studies to Determine Residual Stress on an As-Welded AA2024 Plate,"Ganguly, S.; Fitzpatrick, Michael E. [orcid:0000-0002-3618-6594]; Edwards, Lyndon",2005,Materials Science Forum [issn:1662-9752],490-491,,223-228,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0921-5093(99)00674-7; local:S0921509399006747,Recent development in aluminium alloys for aerospace applications,"Heinz, A; Haszler, A; Keidel, C; Moldenhauer, S; Benedictus, R; Miller, W.S",2000,Materials Science and Engineering: A [issn:0921-5093],280,1,102-107,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.490-491.294,Residual Stress Mapping in Welds Using the Contour Method,"Zhang, Ying; Pratihar, S.; Fitzpatrick, Michael E. [orcid:0000-0002-3618-6594]; Edwards, Lyndon",2005,Materials Science Forum [issn:1662-9752],490-491,,294-299,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.4028/www.scientific.net/msf.490-491.649,Sensitivity of a Rotating Beam Sensor for Stress Evaluation in Aluminium Thin Films,"dos Santos, J.M.M.; Pina, J.C.P.; Batista, António Castanhola [orcid:0000-0001-6336-6139]; Horsfall, Alton B.; Wang, Kai; Wright, Nicolas G.; Soare, S.M.; Bull, S.J.; O'Neill, Anthony G.; Terry, J.G.; Walton, Anthony J.; Gundlach, A.M.; Stevenson, J.T.M.",2005,Materials Science Forum [issn:1662-9752],490-491,,649-654,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1107/s002188989300651x; local:S002188989300651X,Characterization of thin nickel electrocoatings by the low-incident-beam-angle diffraction method,"Van Acker, K.; De Buyser, L.; Celis, J. P.; Van Houtte, P.",1994,Journal of Applied Crystallography [issn:0021-8898],27,1,56-66,journal-article,International Union of Crystallography (IUCr) [crossref:329]
doi:10.4028/www.scientific.net/msf.498-499.430,Using Experiments Design to Model Linear Firing Shrinkage of Triaxial Ceramic Bodies,"Correia, Sivaldo Leite; Curto, K.A.S.; Hotza, Dachamir; Segadães, Ana M. [orcid:0000-0001-6465-620X]",2005,Materials Science Forum [issn:1662-9752],498-499,,430-435,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1002/9781118204221; local:10.1002/9781118204221; local:10.1002/SERIES1345,Experiments with Mixtures,"Cornell, John A.",2002,,,,,monograph,Wiley [crossref:311]
doi:10.4028/www.scientific.net/msf.498-499.447,"Clays from Southern Brazil: Physical, Chemical and Mineralogical Characterization","Correia, Sivaldo Leite; Curto, K.A.S.; Hotza, Dachamir; Segadães, Ana M. [orcid:0000-0001-6465-620X]",2005,Materials Science Forum [issn:1662-9752],498-499,,447-452,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0169-1317(01)00042-4; local:S0169131701000424,Workability test method for metals applied to examine a workability measure (plastic limit) for clays,"Baran, B.; Ertürk, T.; Sarıkaya, Y.; Alemdaroğlu, T.",2001,Applied Clay Science [issn:0169-1317],20,1-2,53-63,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.498-499.540,Anelastic Spectroscopy in TiO<sub>2</sub>,"Grandini, Carlos Roberto [orcid:0000-0002-3336-309X]; Oliveira, R.L.N.; Mota, Rogério Pinto; Santos, F.P.; de Campos, Élson",2005,Materials Science Forum [issn:1662-9752],498-499,,540-545,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1021/es00054a027; local:10.1021/es00054a027,Bactericidal Activity of TiO2 Photocatalyst in Aqueous Media: Toward a Solar-Assisted Water Disinfection System,"Wei, Chang.; Lin, Wen Yuan.; Zainal, Zulkarnain.; Williams, Nathan E.; Zhu, Kai.; Kruzic, Andrew P.; Smith, Russell L.; Rajeshwar, Krishnan.",1994,Environmental Science & Technology [issn:0013-936X; issn:1520-5851],28,5,934-938,journal-article,American Chemical Society (ACS) [crossref:316]
doi:10.4028/www.scientific.net/msf.498-499.564,Anelastic Spectroscopy in Al<sub>2</sub>O<sub>3</sub>,"Grandini, Carlos Roberto [orcid:0000-0002-3336-309X]; Oliveira, R.L.N.; Mota, Rogério Pinto; Santos, F.P.; de Campos, Élson",2005,Materials Science Forum [issn:1662-9752],498-499,,564-568,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/0955-2219(95)00207-3; local:0955221995002073,Wear behaviour of alumina and sialon in line contact lubricated with diamond slurry,"Jisheng, E.; Stolarski, T.A.; Gawne, D.T.",1996,Journal of the European Ceramic Society [issn:0955-2219],16,8,865-872,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.498-499.558,Sintering of a Clay Material with Granite and Marble Reject,"Silva, J.B.; Vieira, F.A.; Acchar, Wilson; Hotza, Dachamir; Segadães, Ana M. [orcid:0000-0001-6465-620X]",2005,Materials Science Forum [issn:1662-9752],498-499,,558-563,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1016/s0040-6031(02)00070-9; local:S0040603102000709,Thermal and mechanical study from granite and marble industry reject,"Mothé Filho, Heitor F; Polivanov, Helena; Barroso, Emı́lio V; Mothé, Cheila G",2002,Thermochimica Acta [issn:0040-6031],392-393,,47-50,journal-article,Elsevier BV [crossref:78]
doi:10.4028/www.scientific.net/msf.498-499.581,Anelastic Spectroscopy in Superconducting Oxides,"de Albuquerque Gimenez, Juliana Maria; Grandini, Carlos Roberto [orcid:0000-0002-3336-309X]; dos Santos, Dayse Iara; Cunha, Alfredo Gonçalves da",2005,Materials Science Forum [issn:1662-9752],498-499,,581-586,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1143/jjap.33.l715,Flux Pinning in Melt-Grown $\bf NdBa_{2}Cu_{3}O_{\ninmbi y}$ and $\bf SmBa_{2}Cu_{3}O_{\ninmbi y}$ Superconductors,"Murakami, Masato; Yoo, Sang-Im; Higuchi, Takamitsu; Sakai, Naomichi; Weltz, Jürgen; Koshizuka, Naoki; Tanaka, Shoji",1994,Japanese Journal of Applied Physics [issn:0021-4922],33,"Part 2, No. 5B",L715-L717,journal-article,Japan Society of Applied Physics [crossref:328]
doi:10.4028/www.scientific.net/msf.500-501.49,Thin Slab Direct Rolling of Microalloyed Steels,"Rodriguez-Ibabe, J.M. [orcid:0000-0002-4259-8712]",2005,Materials Science Forum [issn:1662-9752],500-501,,49-62,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
doi:10.1051/metal:2003127; local:P637,Steel product development in ACB - Initial and present situation - Productivity increase and new developments on thin slab casting and rolling,"Aristegui, F.; Lángara, J.-I.; Lasa, I.; Fernández, A.; Miñambres, J.; Calderón, A.",2003,Revue de Métallurgie [issn:0035-1563; issn:1156-3141],100,6,637-643,journal-article,EDP Sciences [crossref:250]
doi:10.4028/www.scientific.net/msf.500-501.131,Influence of Ti on Static Recrystallization in Near Net Shape Steels,"Arribas, M.; López, Beatriz; Rodriguez-Ibabe, J.M. [orcid:0000-0002-4259-8712]",2005,Materials Science Forum [issn:1662-9752],500-501,,131-138,journal-article,"Trans Tech Publications, Ltd. [crossref:2457]"
