id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1155/2007/67187; local:067187; local:067187,Angiogenic Factor Expression in Hepatic Cirrhosis,"Giatromanolaki, Alexandra; Kotsiou, Stamatia; Koukourakis, Michael I.; Sivridis, Efthimios [orcid:0000-0002-2802-1386]",2007,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2007,,1-4,journal-article,Hindawi Limited [crossref:98]
doi:10.1053/jhep.2002.32524; local:S0270-9139(02)21032-0,Hypoxia-induced VEGF and collagen I expressions are associated with angiogenesis and fibrogenesis in experimental cirrhosis,"Corpechot, C",2002,Hepatology [issn:0270-9139],35,5,1010-1021,journal-article,Wiley [crossref:311]
doi:10.1007/bf00695054; local:BF00695054,The scarring of the liver acini (Cirrhosis),"Rappaport, A. M.; MacPhee, P. J.; Fisher, M. M.; Phillips, M. J.",1983,Virchows Archiv A Pathological Anatomy and Histopathology [issn:0340-1227; issn:1432-2307],402,2,107-137,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1001/jama.1939.02800050001001,THE ETIOLOGY AND PATHOGENESIS OF ALCOHOLIC CIRRHOSIS OF THE LIVER,"CONNOR, CHARLES L.",1939,Journal of the American Medical Association [issn:0002-9955],112,5,387,journal-article,American Medical Association (AMA) [crossref:10]
doi:10.1155/2007/65704; local:065704; local:65704,Plasma Levels of Tumor Necrosis Factor-Alpha and Interleukin-6 in Obsessive Compulsive Disorder,"Konuk, N. [orcid:0000-0002-6815-9750]; Tekın, I. O. [orcid:0000-0002-9969-4254]; Ozturk, U.; Atik, L.; Atasoy, N.; Bektas, S.; Erdogan, A.",2007,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2007,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0024-3205(97)00990-9; local:S0024320597009909,"Depression, stress and immunological activation: The role of cytokines in depressive disorders","Connor, Thomas J.; Leonard, Brian E.",1998,Life Sciences [issn:0024-3205],62,7,583-606,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2007/89464; local:089464; local:89464,A Discrete Two-Sector Economic Growth Model,"Zhang, Wei-Bin [orcid:0000-0002-3012-304X]",2007,Discrete Dynamics in Nature and Society [issn:1026-0226; issn:1607-887X],2007,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.2307/2296180,On a Two-Sector Model of Economic Growth,"Uzawa, Hirofumi",1961,The Review of Economic Studies [issn:0034-6527],29,1,40,journal-article,Oxford University Press (OUP) [crossref:286]
doi:10.1155/2008/327346; local:327346; local:327346,Chronic Brucellosis Patients Retain Low Frequency of CD4+ T-Lymphocytes Expressing CD25 and CD28 afterEscherichia coliLPS Stimulation of PHA-Cultured PBMCs,"Skendros, Panagiotis; Sarantopoulos, Alexandros [orcid:0000-0002-1179-3195]; Tselios, Konstantinos; Boura, Panagiota",2008,Clinical and Developmental Immunology [issn:1740-2522; issn:1740-2530],2008,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1056/nejmra050570; local:10.1056/NEJMra050570,Brucellosis,"Pappas, Georgios; Akritidis, Nikolaos; Bosilkovski, Mile; Tsianos, Epameinondas",2005,New England Journal of Medicine [issn:0028-4793; issn:1533-4406],352,22,2325-2336,journal-article,Massachusetts Medical Society [crossref:150]
doi:10.1155/2009/301284; local:301284; local:301284,A Review of the “Open” and “Closed” Circulatory Systems: New Terminology for Complex Invertebrate Circulatory Systems in Light of Current Findings,"Reiber, Carl L.; McGaw, Iain J. [orcid:0000-0001-7854-0216]",2009,International Journal of Zoology [issn:1687-8477; issn:1687-8485],2009,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1002/jez.1402490205,Oxygen binding of single red blood cells of the annelid bloodwormGlycera dibranchiata,"Mangum, C. P.; Colacino, J. M.; Vandergon, T. L.",1989,Journal of Experimental Zoology [issn:0022-104X; issn:1097-010X],249,2,144-149,journal-article,Wiley [crossref:311]
